ID,DESCRIPTION,DESCRIPTION.1,Energy (kcal),F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks),Protein (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg_RAE)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),"Iron
(mg)",Magnesium (mg),Potassium (mg),"Fatty acids, total saturated (g)",Sodium (mg),Added Sugar (g),Energy_Factor,Score_Protein (g),"Score_Fiber, total dietary (g)","Score_Vitamin A, RAE (mcg_RAE)",Score_Vitamin C (mg),Score_Vitamin E (alpha-tocopherol) (mg),Score_Calcium (mg),"Score_Iron
(mg)",Score_Magnesium (mg),Score_Potassium (mg),Total_NRF9,"Score_Fatty acids, total saturated (g)",Score_Added Sugar (g),Score_Sodium (mg),Total_LIM,NRF9.3_Score,Label_Text,Label_Value
11000000,"Milk, human","Milk, human",70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,61,5.0,0.08,32,0.03,3,51,2.009,17,0.0,1.4285714285714286,2.942857142857143,0.0,9.682539682539682,7.936507936507938,0.761904761904762,3.5164835164835164,0.2380952380952381,1.0204081632653061,1.5501519756838906,27.648948417337472,14.350000000000001,0.0,1.0559006211180122,15.405900621118013,12.243047796219459,Medium,1
11100000,"Milk, NFS","Milk, NFS",51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.38,0.0,0.0,3.34,0.0,59,0.1,0.03,126,0.0,12,157,1.164,39,0.0,1.9607843137254901,13.098039215686274,0.0,12.854030501089325,0.21786492374727667,0.3921568627450979,19.004524886877828,0.0,5.602240896358543,6.54985398414685,57.71871127065119,11.411764705882351,0.0,3.324808184143222,14.736572890025574,42.982138380625614,Medium,1
11111000,"Milk, whole","Milk, whole",60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.59,0.0,0.0,3.28,0.0,32,0.0,0.05,123,0.0,12,150,1.86,38,0.0,1.6666666666666667,10.933333333333334,0.0,5.9259259259259265,0.0,0.5555555555555556,15.769230769230768,0.0,4.761904761904762,5.319148936170213,43.26509928212056,15.5,0.0,2.753623188405797,18.253623188405797,25.011476093714762,Medium,1
11111100,"Milk, low sodium, whole","Milk, low sodium, whole",61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.85,0.0,0.0,3.1,0.0,29,0.9,0.08,101,0.05,5,253,2.154,3,0.0,1.639344262295082,10.163934426229508,0.0,5.2823315118397085,1.639344262295082,0.8743169398907104,12.736443883984869,0.45537340619307837,1.9516003122560504,8.824555284269271,41.927900026958284,17.655737704918035,0.0,0.21382751247327159,17.869565217391308,24.058334809566976,Medium,1
11111150,"Milk, calcium fortified, whole","Milk, calcium fortified, whole",60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.59,0.0,0.0,3.28,0.0,32,0.0,0.05,123,0.0,12,150,1.86,38,0.0,1.6666666666666667,10.933333333333334,0.0,5.9259259259259265,0.0,0.5555555555555556,15.769230769230768,0.0,4.761904761904762,5.319148936170213,43.26509928212056,15.5,0.0,2.753623188405797,18.253623188405797,25.011476093714762,Medium,1
11111160,"Milk, calcium fortified, low fat (1%)","Milk, calcium fortified, low fat (1%)",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.34,0.0,0.0,3.38,0.0,58,0.0,0.02,126,0.0,12,159,0.568,39,0.0,2.3255813953488373,15.720930232558143,0.0,14.987080103359174,0.0,0.310077519379845,22.54025044722719,0.0,6.64451827242525,7.867392380009896,68.0702489549595,6.604651162790698,0.0,3.9433771486349856,10.548028311425684,57.522220643533814,Medium,1
11111170,"Milk, calcium fortified, fat free (skim)","Milk, calcium fortified, fat free (skim)",35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,137,1.0,0.01,204,0.04,11,166,0.117,52,0.0,2.857142857142857,19.428571428571427,0.0,43.492063492063494,3.1746031746031744,0.1904761904761905,44.83516483516484,0.634920634920635,7.482993197278912,10.091185410334347,129.32997836341303,1.6714285714285717,0.0,6.459627329192546,8.131055900621117,121.19892246279191,Good,2
11112110,"Milk, reduced fat (2%)","Milk, reduced fat (2%)",50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.29,0.0,0.0,3.35,0.0,83,0.2,0.03,126,0.0,12,159,1.11,39,0.0,2.0,13.4,0.0,18.444444444444443,0.4444444444444444,0.4,19.384615384615383,0.0,5.714285714285714,6.765957446808511,64.55374743459849,11.100000000000001,0.0,3.3913043478260874,14.49130434782609,50.062443086772404,Medium,1
11112120,"Milk, acidophilus, low fat (1%)","Milk, acidophilus, low fat (1%)",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.34,0.0,0.0,3.38,0.0,58,0.0,0.02,126,0.0,12,159,0.568,39,0.0,2.3255813953488373,15.720930232558143,0.0,14.987080103359174,0.0,0.310077519379845,22.54025044722719,0.0,6.64451827242525,7.867392380009896,68.0702489549595,6.604651162790698,0.0,3.9433771486349856,10.548028311425684,57.522220643533814,Medium,1
11112130,"Milk, acidophilus, reduced fat (2%)","Milk, acidophilus, reduced fat (2%)",50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.29,0.0,0.0,3.35,0.0,83,0.2,0.03,126,0.0,12,159,1.11,39,0.0,2.0,13.4,0.0,18.444444444444443,0.4444444444444444,0.4,19.384615384615383,0.0,5.714285714285714,6.765957446808511,64.55374743459849,11.100000000000001,0.0,3.3913043478260874,14.49130434782609,50.062443086772404,Medium,1
